haskell-base64-bytestring 1.2.1.0-40
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.11-59
haskell-bitarray 0.0.1.1-23
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-163
haskell-blaze-markup 0.8.2.8-69
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-142
haskell-cereal 0.5.8.2-2
haskell-citeproc 0.6.0.1-36
haskell-cmark-gfm 0.2.3-8
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-88
haskell-commonmark 0.2.1.1-20
haskell-commonmark-extensions 0.2.3-5
haskell-commonmark-pandoc 0.2.1.2-32
haskell-comonad 5.0.8-138
haskell-conduit 1.3.4.2-44
haskell-conduit-extra 1.3.5-222
haskell-connection 0.3.1-190
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-9
haskell-data-default 0.7.1.1-217
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-230
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-41
haskell-diff 0.4.1-14
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-141
haskell-dlist 1.0-152
haskell-doclayout 0.3.1.1-8
haskell-doctemplates 0.10.0.1-49
haskell-emojis 0.1.2-13
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-file-embed 0.0.15.0-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-29
haskell-haddock-library 1.10.0-115
haskell-haddock-library1.9 1.9.0-3
haskell-hashable 1.4.0.0-35
haskell-hourglass 0.2.12-185
haskell-hslua 2.1.0-5
haskell-hslua-aeson 2.1.0-5
haskell-hslua-classes 2.1.0-5
haskell-hslua-core 2.1.0-5
haskell-hslua-marshalling 2.1.0-5
haskell-hslua-module-path 1.0.1-5
haskell-hslua-module-system 1.0.1-5
haskell-hslua-module-text 1.0.1-5
haskell-hslua-module-version 1.0.1-5
haskell-hslua-objectorientation 2.1.0-5
haskell-hslua-packaging 2.1.0-5
haskell-hsyaml 0.2.1.0-155
haskell-http 4000.4.0-9
haskell-http-client 0.7.11-12
haskell-http-client-tls 0.3.6.1-4
haskell-http-types 0.12.3-225
haskell-hxt 9.3.1.22-64
haskell-hxt-charproperties 9.5.0.0-4
haskell-hxt-regex-xmlschema 9.2.0.7-5
haskell-hxt-unicode 9.0.2.4-25
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-17
haskell-ipynb 0.2-6
haskell-jira-wiki-markup 1.4.0-52
haskell-juicypixels 3.3.7-8
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-208
haskell-lpeg 1.0.2-3
haskell-lua 2.1.0-3
haskell-memory 0.17.0-5
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-42
haskell-network 3.1.2.7-17
haskell-network-uri 2.6.4.1-74
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-lua-marshal 0.1.5.1-5
haskell-pandoc-types 1.22.2-3
haskell-pem 0.2.4-222
haskell-pretty-show 1.10-13
haskell-primitive 0.7.3.0-40
haskell-quickcheck 2.14.2-298
haskell-random 1.2.1-86
haskell-regex-base 0.94.0.2-2
haskell-regex-pcre 0.95.0.0-13
haskell-regex-tdfa 1.3.1.2-12
haskell-resourcet 1.2.4.3-41
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-52
haskell-sha 1.6.4.4-19
haskell-skylighting 0.12.3-4
haskell-skylighting-core 0.12.3-4
haskell-socks 0.6.1-169
haskell-split 0.2.3.4-184
haskell-splitmix 0.1.0.4-54
haskell-streaming-commons 0.2.2.4-12
haskell-strict 0.4.0.1-108
haskell-syb 0.7.2.1-127
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-165
haskell-temporary 1.3-389
haskell-texmath 0.12.5-3
haskell-text-conversions 0.3.1-122
haskell-text-icu 0.8.0.1-10
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-36
haskell-th-lift 0.8.2-11
haskell-th-lift-instances 0.1.19-25
haskell-these 1.1.1.1-135
haskell-time-compat 1.9.6.1-36
haskell-tls 1.5.7-22
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.8.0-25
haskell-unicode-collation 0.1.3.1-35
haskell-unicode-data 0.3.0-6
haskell-unicode-transforms 0.4.0.1-4
haskell-uniplate 1.6.13-114
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.18.0-2
haskell-utf8-string 1.0.2-89
haskell-uuid-types 1.0.5-56
haskell-vector 0.12.3.1-75
haskell-vector-algorithms 0.8.0.4-104
haskell-x509 1.7.6-12
haskell-x509-store 1.6.9-19
haskell-x509-system 1.6.7-22
haskell-x509-validation 1.6.12-24
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-97
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-15
haskell-zip-archive 0.4.2.1-8
haskell-zlib 0.6.2.3-72
hdparm 9.63-2
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
highlight 4.2-1
hplip 1:3.22.2-2
hspell 1.4-4
htop 3.1.2-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwdata 0.358-1
hwloc 2.7.1-1
hyphen 2.8.8-3
iana-etc 20220325-1
ibus 1.5.26-2
icu 71.1-1
