haskell-resourcet 1.2.4.3-23
haskell-safe 0.3.19-7
haskell-scientific 0.3.7.0-34
haskell-sha 1.6.4.4-18
haskell-skylighting 0.11-51
haskell-skylighting-core 0.11-53
haskell-socks 0.6.1-148
haskell-split 0.2.3.4-166
haskell-splitmix 0.1.0.4-20
haskell-streaming-commons 0.2.2.2-4
haskell-strict 0.4.0.1-90
haskell-syb 0.7.2.1-96
haskell-tagged 0.8.6.1-4
haskell-tagsoup 0.14.8-147
haskell-temporary 1.3-333
haskell-texmath 0.12.3.1-30
haskell-text-conversions 0.3.1-104
haskell-text-icu 0.7.1.0-4
haskell-th-abstraction 0.4.3.0-1
haskell-th-compat 0.1.3-18
haskell-th-lift 0.8.2-10
haskell-th-lift-instances 0.1.19-7
haskell-these 1.1.1.1-117
haskell-time-compat 1.9.6.1-18
haskell-tls 1.5.6-5
haskell-transformers-compat 0.7.1-1
haskell-typed-process 0.2.8.0-7
haskell-unicode-collation 0.1.3.1-13
haskell-unicode-data 0.2.0-1
haskell-unicode-transforms 0.4.0-5
haskell-uniplate 1.6.13-92
haskell-unliftio-core 0.2.0.1-8
haskell-unordered-containers 0.2.15.0-4
haskell-utf8-string 1.0.2-71
haskell-uuid-types 1.0.5-38
haskell-vector 0.12.3.1-30
haskell-vector-algorithms 0.8.0.4-86
haskell-x509 1.7.5-181
haskell-x509-store 1.6.7-180
haskell-x509-system 1.6.6-248
haskell-x509-validation 1.6.11-180
haskell-xml 1.3.14-29
haskell-xml-conduit 1.9.1.1-66
haskell-xml-types 0.3.8-7
haskell-zip-archive 0.4.1-153
haskell-zlib 0.6.2.3-54
hdparm 9.62-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
highlight 4.1-1
hplip 1:3.21.12-1
hspell 1.4-4
htop 3.1.2-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwdata 0.355-1
hwloc 2.7.0-1
hyphen 2.8.8-3
iana-etc 20211203-1
ibus 1.5.25-5
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.19-1
imath 3.1.3-4
imlib2 1.7.5-1
incron 0.5.12-4
inetutils 2.2-1
iniparser 4.1-4
intel-gmmlib 21.3.5-1
intel-media-driver 21.4.3-1
intel-media-sdk 21.3.5-2
intel-ucode 20210608-1
intltool 0.51.0-6
iotop 0.6-9
iproute2 5.15.0-2
iptables 1:1.8.7-1
iptraf-ng 1.2.1-1
iputils 20211215-1
iscan 2.30.4.2-3
iscan-plugin-gt-f500 1.0.0-4
iso-codes 4.9.0-1
isync 1.4.4-1
iw 5.16-1
iwd 1.21-1
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
java-commons-lang 3.12.0-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 17.0.1.u12-1
jfsutils 1.1.15-7
jq 1.6-4
jre-openjdk 17.0.1.u12-1
jre-openjdk-headless 17.0.1.u12-1
js52 52.9.0-4
js60 60.9.0-2
js68 68.12.0-1
js78 78.15.0-1
json-c 0.15-2
json-glib 1.6.6-1
jsoncpp 1.9.5-1
jump 0.40.0-1
kbd 2.4.0-2
kconfig 5.90.0-1
kcoreaddons 5.90.0-1
keepassxc 2.6.6-1
keyutils 1.6.3-1
kmod 29-1
knotifications 5.90.0-1
krb5 1.19.2-2
kwindowsystem 5.90.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-2
ladspa 1.17-1
lame 3.100-3
languagetool 5.5-2
lapack 3.10.0-1
lastpass-cli 1.3.3-2
lcms2 2.12-1
ldb 2:2.4.1-4
ldns 1.8.1-1
lensfun 0.3.95-6
less 1:590-1
libabw 0.1.3-2
libaio 0.3.112-2
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.2-2
libass 0.15.2-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libavif 0.9.3-1
libblockdev 2.26-3
libbluray 1.3.0-1
libbsd 0.11.3-1
libbytesize 2.6-3
libcaca 0.99.beta20-1
libcanberra 0.30+2+gc0620e4-5
libcap 2.62-1
libcap-ng 0.8.2-6
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcmis 0.5.2-9
libcolord 1.4.5-4
libcroco 0.6.13-2
libcups 1:2.4.0-4
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdiscid 0.6.2-3
libdrm 2.4.109-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libe-book 0.1.3-10
libebml 1.4.2-1
libebur128 1.2.6-1
libedit 20210910_3.1-1
libelf 0.186-2
libepoxy 1.5.9-1
libepubgen 0.1.1-2
libetonyek 0.1.10-1
libevdev 1.12.0-1
libevent 2.1.12-1
libexif 0.6.24-1
libexttextcat 3.4.6-1
libffi 3.4.2-4
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.4-3
libfreehand 0.1.2-3
libgcrypt 1.9.4-1
libgdiplus 5.6.1-3
libgexiv2 0.14.0-3
libgit2 1:1.3.0-1
libglvnd 1.4.0-1
libgpg-error 1.43-1
libgphoto2 2.5.28-1
libgudev 237-1
libgusb 0.3.10-1
libhandy 1.4.0-1
libheif 1.12.0-2
libibus 1.5.25-5
libical 3.0.12-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libieee1284 0.2.11-13
libimagequant 2.17.0-1
libindicator-gtk3 12.10.1-9
libinih 53-1
libinput 1.19.3-1
libixion 0.16.1-9
libjpeg-turbo 2.1.2-1
libkeybinder3 0.3.2-3
libksba 1.6.0-1
liblangtag 0.6.3-2
libldap 2.6.0-2
liblo 1:0.31-1
liblouis 3.20.0-2
liblqr 0.4.2-3
libluv 1.42.0_1-1
libmad 0.15.1b-9
libmatroska 1.6.3-1
libmaxminddb 1.6.0-1
libmd 1.0.4-1
libmediainfo 21.09-1
libmfx 21.3.5-2
libmicrohttpd 0.9.75-1
libmm-glib 1.18.4-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.2.1-1
libmpcdec 1:0.1+r475-3
libmpeg2 0.5.1-7
libmspack 1:0.10.1alpha-3
libmspub 0.1.4-11
libmtp 1.1.19-1
libmwaw 0.3.21-1
libmypaint 1.6.1-1
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-8
libnfnetlink 1.0.1-4
libnftnl 1.2.1-1
libnghttp2 1.46.0-1
libnl 3.5.0-3
libnm 1.32.12-2
libnma 1.8.32-1
libnotify 0.7.9-2
libnsl 2.0.0-1
libnumbertext 1.0.8-1
libodfgen 0.1.8-1
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenshot 0.2.7-7
libopenshot-audio 0.2.2-1
liborcus 0.16.1-10
libp11-kit 0.24.0-2
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.10.1-1
libpciaccess 0.16-2
libpgm 5.3.128-1
libpipeline 1.5.5-1
libplacebo 4.157.0-1
libpng 1.6.37-3
libproxy 0.4.17-6
libpsl 0.21.1-1
libpulse 15.0-1
libpwquality 1.4.4-5
libqxp 0.0.2-7
libraqm 0.8.0-1
libraw 0.20.2-1
libraw1394 2.1.2-3
libreoffice-fresh 7.2.5-4
libreoffice-fresh-en-gb 7.2.5-1
librevenge 0.0.4-3
librsvg 2:2.52.5-1
libsamplerate 0.2.2-1
libsasl 2.1.27-3
libseccomp 2.5.3-3
libsecret 0.20.4-1
libshout 1:2.4.5-1
libsidplay 1.36.59-10
libsigc++ 2.10.7-2
libsigsegv 2.13-1
libsm 1.2.3-2
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.0.4-2
libsoxr 0.1.3-2
libspiro 1:20200505-2
libssh 0.9.6-1
libssh2 1.10.0-1
libstaroffice 0.0.7-1
libstatgrab 0.92.1-1
libstdc++5 3.3.6-7
libstemmer 2.2.0-1
libsynctex 2021.59745-1
libsysprof-capture 3.42.1-2
libtar 1.2.20-6
libtasn1 4.18.0-1
libteam 1.31-5
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-16
libunistring 0.9.10-3
libunwind 1.6.2-1
libupnp 1.14.12-2
liburcu 0.13.0-1
libusb 1.0.24-2
libutempter 1.2.1-1
libuv 1.42.0-1
libva 2.13.0-1
libva-intel-driver 2.4.1-1
libva-utils 2.13.0-1
libvdpau 1.4-1
libvisio 0.1.7-6
libvisual 0.4.0-8
libvoikko 4.3.1-2
libvorbis 1.3.7-2
libvpx 1.11.0-1
libvterm 0.1.3.git1.65dbda-1
libwacom 1.12-1
libwebp 1.2.1-2
libwmf 0.2.12-2
libwpd 0.10.3-3
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.3.1-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.27-1
libxcursor 1.2.0-2
libxcvt 0.1.1-1
libxdamage 1.1.5-3
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.3.1-1
libxkbcommon-x11 1.3.1-1
libxkbfile 1.1.0-2
libxml2 2.9.12-6
libxmu 1.1.3-2
libxnvctrl 495.46-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
