haskell-hxt 9.3.1.22-74
haskell-hxt-charproperties 9.5.0.0-4
haskell-hxt-regex-xmlschema 9.2.0.7-5
haskell-hxt-unicode 9.0.2.4-25
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-27
haskell-ipynb 0.2-25
haskell-jira-wiki-markup 1.4.0-62
haskell-juicypixels 3.3.7-19
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-227
haskell-lpeg 1.0.2-13
haskell-lua 2.1.0-13
haskell-memory 0.17.0-15
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-60
haskell-network 3.1.2.7-27
haskell-network-uri 2.6.4.1-84
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-lua-marshal 0.1.5.1-23
haskell-pandoc-types 1.22.2-21
haskell-pem 0.2.4-232
haskell-pretty-show 1.10-13
haskell-primitive 0.7.4.0-9
haskell-quickcheck 2.14.2-326
haskell-random 1.2.1.1-24
haskell-regex-base 0.94.0.2-2
haskell-regex-pcre 0.95.0.0-13
haskell-regex-tdfa 1.3.1.2-23
haskell-resourcet 1.2.5-7
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-62
haskell-sha 1.6.4.4-19
haskell-skylighting 0.12.3-26
haskell-skylighting-core 0.12.3-26
haskell-socks 0.6.1-179
haskell-split 0.2.3.4-194
haskell-splitmix 0.1.0.4-74
haskell-streaming-commons 0.2.2.4-23
haskell-strict 0.4.0.1-119
haskell-syb 0.7.2.1-144
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-175
haskell-temporary 1.3-422
haskell-texmath 0.12.5-21
haskell-text-conversions 0.3.1.1-9
haskell-text-icu 0.8.0.1-20
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-46
haskell-th-lift 0.8.2-11
haskell-th-lift-instances 0.1.19-35
haskell-these 1.1.1.1-146
haskell-time-compat 1.9.6.1-46
haskell-tls 1.6.0-1
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.10.1-2
haskell-unicode-collation 0.1.3.2-7
haskell-unicode-data 0.3.0-16
haskell-unicode-transforms 0.4.0.1-14
haskell-uniplate 1.6.13-131
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-15
haskell-utf8-string 1.0.2-99
haskell-uuid-types 1.0.5-66
haskell-vector 0.12.3.1-100
haskell-vector-algorithms 0.8.0.4-114
haskell-x509 1.7.7-5
haskell-x509-store 1.6.9-30
haskell-x509-system 1.6.7-33
haskell-x509-validation 1.6.12-35
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-118
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-34
haskell-zip-archive 0.4.2.1-19
haskell-zlib 0.6.3.0-9
hdparm 9.63-2
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highlight 4.2-1
hplip 1:3.22.4-2
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.0-4
hwdata 0.360-1
hwloc 2.7.1-1
hyphen 2.8.8-4
iana-etc 20220603-1
ibus 1.5.26-2
icu 71.1-1
ijs 0.35-4
imagemagick 7.1.0.37-1
imath 3.1.5-2
imlib2 1.9.0-3
inetutils 2.2-1
iniparser 4.1-4
intltool 0.51.0-6
iotop 0.6-9
iproute2 5.18.0-1
iptables 1:1.8.8-1
iptraf-ng 1.2.1-1
iputils 20211215-1
iscan 2.30.4.2-3
iso-codes 4.10.0-1
isync 1.4.4-1
iw 5.19-1
iwd 1.28-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.4-1
java-commons-lang 3.12.0-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 18.0.1.1.u2-1
jemalloc 1:5.3.0-1
jre-openjdk 18.0.1.1.u2-1
jre-openjdk-headless 18.0.1.1.u2-1
jre11-openjdk-headless 11.0.15.u10-2
js68 68.12.0-1
js78 78.15.0-4
js91 91.10.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jump 0.41.0-1
karchive 5.95.0-1
kbd 2.5.0-2
kconfig 5.95.0-1
kcoreaddons 5.95.0-1
keepassxc 2.7.1-1
keyutils 1.6.3-1
kmod 29-3
knotifications 5.95.0-1
krb5 1.19.3-3
kwindowsystem 5.95.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-2
lame 3.100-3
languagetool 5.7-1
lapack 3.10.1-1
lastpass-cli 1.3.3-2
lcms2 2.13.1-1
ldb 2:2.5.1-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
libabw 0.1.3-3
libaio 0.3.113-1
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-2
libarchive 3.6.1-1
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libavif 0.10.1-2
libb64 1.2.1-4
libblockdev 2.26-3
libbluray 1.3.1-1
libbpf 0.8.0-1
libbsd 0.11.6-2
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.64-1
libcap-ng 0.8.3-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-4
libcloudproviders 0.3.1-2
libcmis 0.5.2-10
libcolord 1.4.6-1
libcroco 0.6.13-2
libcups 1:2.4.2-3
libcurl-gnutls 7.83.1-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libde265 1.0.8-2
libdiscid 0.6.2-3
libdrm 2.4.111-1
libdv 1.0.0-9
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libe-book 0.1.3-11
libebur128 1.2.6-1
libedit 20210910_3.1-1
libelf 0.187-1
libepoxy 1.5.10-1
libepubgen 0.1.1-3
libetonyek 0.1.10-1
libevdev 1.12.1-1
libevent 2.1.12-1
libexif 0.6.24-1
libexttextcat 3.4.6-1
libfdk-aac 2.0.2-1
libffi 3.4.2-5
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libfreehand 0.1.2-4
libgcrypt 1.10.1-1
libgdiplus 5.6.1-3
libgexiv2 0.14.0-3
libgit2 1:1.4.3-1
libglvnd 1.4.0-2
libgpg-error 1.45-2
libgphoto2 2.5.29-1
libgudev 237-2
libgusb 0.3.10-2
libhandy 1.6.2-1
libheif 1.12.0-3
libibus 1.5.26-2
libical 3.0.14-3
libice 1.0.10-4
libid3tag 0.15.1b-11
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libieee1284 0.2.11-13
libimagequant 2.17.0-3
libindicator-gtk3 12.10.1-10
libinih 55-2
libinput 1.21.0-1
libisl 0.24-4
libixion 0.17.0-2
libjpeg-turbo 2.1.3-2
libkeybinder3 0.3.2-3
libksba 1.6.0-1
liblangtag 0.6.3-3
libldac 2.0.2.3-1
libldap 2.6.2-2
liblouis 3.22.0-1
liblqr 0.4.2-3
libluv 1.43.0_0-1
libmad 0.15.1b-9
libmanette 0.2.6-3
libmaxminddb 1.6.0-3
libmd 1.0.4-1
libmediainfo 22.03-1
libmfx 22.4.2-1
libmicrohttpd 0.9.75-1
libmm-glib 1.18.8-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.5-1
